"postcode sector","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"AL5  4",6404,5618,5304,78,236,231,126,24,20,15,17,12,38,105,7,59,2,37,5,2,3,78,0,39,21,16,2,39,5,0,18,10,6,53,0,0,0,0,17,3,2,2,10,24,0,2,12,1,5,4,12,1,8,1,2,0,64,40,1,39,0,19,5,2,3,24,24,15,9,0,0,567
"AL5  5",6021,5199,4955,65,179,169,108,18,9,16,12,9,44,61,1,32,4,24,10,2,8,34,0,6,0,3,3,28,6,0,15,7,0,33,2,2,0,0,3,1,1,1,0,19,1,9,3,6,0,0,9,0,7,1,1,0,50,30,5,25,1,15,4,2,2,15,15,12,3,0,0,690
"AL6  0",4603,4223,4113,32,78,70,54,13,10,7,0,5,19,16,1,4,4,7,8,0,8,19,0,5,2,2,1,14,0,0,6,8,0,24,0,0,0,0,0,0,0,0,0,12,0,0,8,3,0,1,12,9,1,0,2,0,20,18,3,15,0,1,1,0,1,8,8,7,1,0,0,309
"AL6  9",4704,3979,3813,66,100,94,53,6,10,10,4,6,17,41,2,20,5,14,6,0,6,21,0,2,0,2,0,19,2,0,6,4,7,69,4,1,0,3,3,0,0,3,0,37,0,3,16,1,4,13,25,1,24,0,0,0,25,19,6,13,1,3,2,0,2,12,12,12,0,0,0,598
"AL7  1",12795,11448,10863,154,431,407,201,25,25,37,23,26,65,206,21,110,15,60,24,3,21,121,4,46,17,20,9,71,2,0,40,19,10,230,4,1,0,3,24,10,1,8,5,179,0,2,137,25,14,1,23,14,6,1,2,0,62,37,7,30,5,12,8,5,3,48,48,28,20,0,0,886
"AL7  2",4421,3540,3361,47,132,125,55,11,19,9,6,3,7,70,10,37,13,10,7,3,4,47,5,12,5,6,1,30,4,0,11,10,5,68,6,5,0,1,5,2,1,2,0,48,1,4,36,1,4,2,9,7,1,0,1,0,9,6,2,4,0,0,3,1,2,7,7,4,3,0,0,750
"AL7  3",12563,10009,9414,114,481,459,191,28,33,39,22,22,47,268,14,178,18,58,22,2,20,214,2,119,40,73,6,93,9,0,28,43,13,179,4,1,0,3,9,3,1,5,0,134,0,8,64,26,28,8,31,12,15,0,4,1,58,32,1,31,1,11,14,9,5,29,29,17,12,0,0,2074
"AL7  4",9664,7705,7279,123,303,283,117,11,19,16,24,13,34,166,10,82,18,56,20,5,15,134,0,40,14,25,1,94,9,0,25,43,17,252,11,3,1,7,26,16,1,7,2,141,0,4,109,9,18,1,74,9,58,3,4,0,23,7,1,6,0,8,8,1,7,13,13,11,2,0,0,1537
"AL8  6",10906,9741,9376,112,253,237,131,19,20,28,13,15,36,106,10,42,6,48,16,3,13,78,2,30,7,21,2,46,5,0,24,9,8,136,11,10,0,1,16,12,0,3,1,85,1,11,40,12,17,4,23,13,5,2,3,1,37,23,6,17,0,8,6,1,5,16,16,10,6,0,0,898
"AL8  7",5469,4557,4413,43,101,93,44,5,7,8,1,8,15,49,1,34,0,14,8,1,7,41,0,12,3,9,0,29,1,0,17,10,1,56,3,2,0,1,9,3,2,4,0,20,0,0,16,1,3,0,24,12,5,1,6,0,19,15,3,12,0,4,0,0,0,7,7,4,3,0,0,789
"AL9  5",2474,2138,1996,21,121,114,62,8,7,12,13,2,20,52,2,29,11,10,7,1,6,29,1,15,6,4,5,13,0,0,4,4,5,61,6,2,1,3,8,4,0,4,0,42,0,5,26,6,4,1,5,3,1,1,0,0,10,8,1,7,0,2,0,0,0,4,4,2,2,0,0,232
"AL9  6",1436,1250,1199,9,42,42,31,6,5,8,1,4,7,11,2,6,1,2,0,0,0,18,0,12,2,10,0,6,0,0,5,1,0,30,1,0,0,1,27,4,17,5,1,0,0,0,0,0,0,0,2,1,0,1,0,0,8,6,2,4,0,2,0,0,0,7,7,5,2,0,1,122
"AL9  7",7841,6991,6563,98,330,301,134,15,30,32,14,8,35,167,9,106,3,49,29,6,23,50,1,22,6,12,4,27,4,0,13,5,5,95,6,2,0,4,19,6,0,9,4,43,0,8,21,7,6,1,27,11,2,4,10,0,42,29,8,21,1,8,4,1,3,18,18,12,6,0,0,645
"B1   1",9071,7620,7011,79,530,505,183,26,28,17,14,29,69,322,14,185,23,100,25,7,18,82,7,48,11,29,8,27,0,2,8,9,8,739,138,83,2,53,307,256,14,12,25,194,3,4,156,26,2,3,98,53,3,1,41,2,61,28,12,16,1,5,27,21,6,14,14,11,3,0,0,555
"B1   2",9214,7858,7301,62,495,476,169,21,25,14,24,15,70,307,31,165,26,85,19,2,17,80,8,36,8,25,3,36,3,0,9,15,9,498,51,24,7,20,176,132,22,9,13,207,5,9,165,20,6,2,61,25,18,3,15,3,78,25,3,22,4,10,39,33,6,14,14,8,6,0,1,685
"B1   3",2598,2233,2133,24,76,69,33,3,4,6,2,6,12,36,1,15,6,14,7,1,6,37,1,17,5,11,1,19,1,0,3,12,3,112,9,5,1,3,27,22,0,0,5,62,0,2,46,10,3,1,13,8,0,0,5,1,18,8,3,5,0,1,9,8,1,3,3,1,2,0,0,195
"B10  0",10463,8795,7971,98,726,650,590,68,35,16,7,16,448,60,9,35,7,9,76,1,75,70,16,29,1,21,7,25,3,3,6,6,7,597,22,2,8,12,9,8,0,0,1,561,24,178,49,309,0,1,5,2,1,0,2,0,38,11,1,10,0,2,25,19,6,3,3,1,2,0,0,960
"B10  9",15774,13330,12032,108,1190,1087,998,55,46,4,5,7,881,89,8,51,26,4,103,1,102,79,23,22,0,5,17,34,5,17,1,3,8,914,39,6,11,22,10,6,1,0,3,859,24,137,70,627,1,0,6,3,0,0,3,0,23,7,3,4,0,0,16,12,4,1,1,0,1,0,0,1427
"B11  1",12127,10085,9618,77,390,350,283,11,20,7,5,2,238,67,5,32,20,10,40,3,37,76,9,15,0,6,9,52,5,1,4,19,23,829,97,1,12,84,14,10,2,0,2,699,45,89,99,464,0,2,19,9,7,0,3,0,34,10,4,6,0,2,22,17,5,2,2,2,0,0,0,1101
"B11  2",7220,5928,5614,68,246,232,96,9,5,12,2,3,65,136,5,106,9,16,14,3,11,55,6,27,6,14,7,22,3,1,5,4,9,368,12,3,0,9,5,5,0,0,0,343,20,24,78,221,0,0,8,5,1,0,2,0,17,6,1,5,0,2,9,6,3,2,2,1,1,0,0,850
"B11  3",17117,13435,12557,234,644,617,350,64,28,15,4,5,234,267,11,184,31,41,27,0,27,101,11,45,6,28,11,45,6,0,9,15,15,1123,27,5,7,15,12,11,1,0,0,1049,70,52,208,716,3,0,35,11,15,2,7,0,51,18,6,12,0,8,25,19,6,4,3,2,1,1,0,2403
"B11  4",10845,9129,8674,91,364,351,289,16,31,5,3,3,231,62,0,25,32,5,13,0,13,68,14,24,2,20,2,30,4,0,1,6,19,794,22,1,1,20,22,22,0,0,0,738,37,62,102,534,1,2,12,1,5,0,6,0,21,7,1,6,0,2,12,11,1,0,0,0,0,0,0,833
"B12  0",7999,6460,5977,119,364,343,222,11,22,14,7,6,162,121,4,88,9,20,21,1,20,104,19,39,3,20,16,46,6,5,1,16,18,369,53,2,10,41,62,54,5,2,1,229,20,21,95,85,7,1,23,13,0,0,10,2,54,14,1,13,0,5,35,33,2,5,5,2,3,0,1,1006
"B12  8",9947,8225,7877,47,301,284,210,5,34,6,7,0,158,74,6,21,25,22,17,1,16,87,8,21,3,7,11,58,7,2,0,10,39,678,104,6,5,93,16,14,2,0,0,550,37,61,80,370,0,2,8,5,1,0,2,0,43,11,9,2,1,0,31,24,7,7,6,5,1,1,0,907
"B12  9",7111,5788,5474,58,256,235,192,9,9,6,3,9,156,43,2,26,10,5,21,1,20,86,15,28,7,13,8,43,9,2,0,16,16,417,136,4,8,124,42,40,0,2,0,224,6,15,58,140,4,1,15,2,10,1,2,0,43,8,4,4,0,4,31,27,4,7,7,2,5,0,0,770
"B13  0",10283,7581,7141,239,201,194,141,13,30,19,7,3,69,53,0,36,0,17,7,1,6,45,10,10,5,2,3,25,2,0,4,6,13,201,12,5,2,5,17,14,1,1,1,155,7,5,57,86,0,0,17,10,3,2,2,0,29,12,5,7,0,0,17,10,7,4,4,2,2,0,0,2423
"B13  8",7756,6368,6054,114,200,180,110,17,18,17,7,6,45,70,5,42,4,19,20,1,19,89,14,26,10,14,2,49,5,0,7,20,17,207,18,1,4,13,17,15,0,0,2,145,4,3,84,49,2,3,27,6,9,1,11,0,42,15,6,9,0,6,21,17,4,13,8,6,2,5,0,1037
"B13  9",11403,9382,8919,156,307,282,206,15,14,20,6,4,147,76,4,34,20,18,25,1,24,72,20,27,6,15,6,25,3,1,4,9,8,400,35,6,11,18,17,11,2,1,3,328,11,17,66,229,2,3,20,2,7,0,11,0,45,19,3,16,1,3,22,17,5,10,10,6,4,0,0,1494
"B14  4",9614,6904,6604,155,145,133,59,4,6,2,4,1,42,74,10,50,0,14,12,1,11,43,9,14,1,9,4,20,1,0,1,9,9,85,1,0,1,0,7,4,2,1,0,67,1,0,26,38,2,0,10,0,7,0,3,0,17,4,1,3,0,5,8,7,1,5,5,5,0,0,0,2560
"B14  5",8745,5764,5473,150,141,127,93,4,1,11,8,1,68,34,2,25,2,5,14,0,14,58,6,19,4,14,1,33,3,0,1,19,10,65,10,0,6,4,6,5,0,0,1,41,1,4,25,8,2,1,8,5,0,1,2,0,9,2,1,1,0,1,6,5,1,0,0,0,0,0,0,2849
"B14  6",9032,6876,6588,172,116,113,73,6,10,15,1,7,34,40,3,17,4,16,3,1,2,35,6,11,4,2,5,18,3,1,3,1,10,126,13,4,6,3,16,14,1,1,0,82,4,5,40,33,0,0,15,4,3,2,6,0,35,13,2,11,4,3,15,15,0,6,6,5,1,0,0,1954
"B14  7",7841,6413,6123,155,135,130,72,20,12,10,4,1,25,58,7,25,13,13,5,0,5,34,6,10,0,9,1,18,2,1,2,8,5,153,9,2,2,5,17,7,2,8,0,118,4,11,44,52,4,3,9,1,1,1,6,0,45,27,6,21,2,2,14,13,1,9,9,6,3,0,0,1187
"B15  1",8643,7555,7155,58,342,331,107,14,14,10,10,17,42,224,16,110,14,84,11,6,5,75,5,35,0,25,10,35,3,0,5,11,16,323,71,40,3,28,79,58,4,2,15,136,12,5,93,23,0,3,37,15,4,2,16,0,53,10,5,5,0,7,36,27,9,14,14,10,4,0,0,623
"B15  2",17389,14794,14136,189,469,444,262,51,34,33,12,37,95,182,10,65,31,76,25,14,11,255,21,111,22,58,31,123,9,0,26,58,30,860,156,99,5,52,215,174,10,7,24,312,4,12,233,49,11,3,171,85,45,5,36,6,117,42,20,22,1,16,58,44,14,26,25,21,4,1,4,1333
"B15  3",11125,9809,9403,104,302,289,158,22,28,29,12,10,57,131,14,74,8,35,13,2,11,102,9,32,3,24,5,61,4,0,16,24,17,466,48,34,3,11,114,87,6,3,18,250,1,6,170,64,5,4,52,15,12,6,19,2,77,36,12,24,1,11,29,24,5,8,7,6,1,1,3,660
"B16  0",7953,6243,5631,78,534,520,246,22,14,22,15,2,171,274,13,173,15,73,14,2,12,145,2,82,11,49,22,61,3,0,9,31,18,455,37,15,7,15,61,46,2,0,13,319,14,8,159,133,2,3,37,3,24,2,8,1,83,4,2,2,2,6,71,69,2,6,4,3,1,2,0,1021
"B16  8",14237,11896,11119,116,661,631,354,49,45,34,44,29,153,277,29,137,15,96,30,10,20,206,22,99,12,46,41,85,3,0,18,33,31,732,106,41,3,62,240,203,9,4,24,341,32,15,204,79,10,1,42,19,13,2,8,3,116,34,17,17,3,11,68,62,6,19,18,16,2,1,4,1264
"B16  9",6627,5355,4914,107,334,320,172,18,16,18,13,19,88,148,8,77,8,55,14,4,10,119,7,64,16,33,15,48,5,0,7,17,19,286,31,19,4,8,72,48,6,11,7,157,4,6,113,30,1,3,24,12,2,0,10,2,74,20,6,14,2,4,48,46,2,5,4,3,1,1,0,788
